"Product title","Product variant title","Total sales","Taxes","Additional fees","Duties","Shipping charges","Net sales","Returns"
"MUSK ÍNTIMO | MUSKAT©","1 Muskat Musk íntimo / Algodón de azúcar",3623.78,0,0,0,0,3623.78,-36.81
"MUSK ÍNTIMO - ALMIZCLE BLANCO","Default Title",2583.02,0,0,0,0,2583.02,-79.6
"Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Musk blanco / Musk blanco / Musk blanco",1925.17,0,0,0,0,1925.17,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Algodón de azúcar / Musk blanco",1866.26,0,0,0,0,1866.26,0
"MUSK ÍNTIMO - CEREZA","Default Title",1677.57,0,0,0,0,1677.57,-37.81
"2 musks comprados = 3 musks gratis","Musk blanco / Musk blanco / Musk blanco",1377.26,0,0,0,0,1377.26,0
"MUSK ÍNTIMO | MUSKAT©","1 Muskat Musk íntimo / Musk Blanco",1208.94,0,0,0,0,1208.94,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Musk Blanco / Musk blanco",1105.29,0,0,0,0,1105.29,0
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Algodón de azúcar,Algodón de azúcar,Algodón de azúcar",1021.44,0,0,0,0,1021.44,0
"Pack exótico : 1 musk monoi + 1 bruma de coco rojo","Default Title",991.16,0,0,0,0,991.16,-31.41
"2 musks comprados = 3 musks gratis","Cereza / Cereza / Cereza",895.71,0,0,0,0,895.71,0
"MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",862.61,0,0,0,0,862.61,-29.9
"2 musks comprados = 3 musks gratis","Musk blanco / Cereza / Algodón de azúcar",815.86,0,0,0,0,815.86,0
"MUSK ÍNTIMO | MUSKAT©","1 Muskat Musk íntimo / Cereza",813.91,0,0,0,0,813.91,0
"Pack de dulces : 1 bruma de algodón de azúcar + 1 musk de algodón de azúcar","Default Title",708.47,0,0,0,0,708.47,0
"MUSK ÍNTIMO - MONOÏ","1 Muskat Musk íntimo Monoï",706.46,0,0,0,0,706.46,0
"MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Cereza",699.66,0,0,0,0,699.66,0
"1 desodorante comprado = 1 musk gratis","Musk blanco / Musk blanco",686.21,0,0,0,0,686.21,-29.9
"2 musks comprados = 3 musks gratis","Algodón de azúcar / Algodón de azúcar / Algodón de azúcar",638.72,0,0,0,0,638.72,-44.91
"2 musks comprados = 3 musks gratis","Musk blanco / Algodón de azúcar / Monoï",613.77,0,0,0,0,613.77,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Monoi / Musk blanco",613.77,0,0,0,0,613.77,-49.9
"Pack delicadeza : 1 bruma de vainilla caramelo + 1 musk blanco","Default Title",609,0,0,0,0,609,0
"MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Musk Blanco",592.02,0,0,0,0,592.02,-29.9
"2 brumas compradas = 3 brumas gratis","Musk blanco / Musk blanco",589.81,0,0,0,0,589.81,0
"Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Algodón de azúcar / Algodón de azúcar / Musk blanco",576.56,0,0,0,0,576.56,0
"MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Musk Blanco",547.18,0,0,0,0,547.18,-26.91
"2 musks comprados = 3 musks gratis","Musk blanco / Musk blanco / Monoï",521.46,0,0,0,0,521.46,0
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Musk Blanco,Musk Blanco,Musk Blanco",484.8,0,0,0,0,484.8,0
"2 musks comprados = 3 musks gratis","Musk blanco / Algodón de azúcar / Cereza",469.06,0,0,0,0,469.06,0
"MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Monoi",448.5,0,0,0,0,448.5,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Algodón de azúcar / Vainilla caramelo",414.17,0,0,0,0,414.17,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Algodón de azúcar / Algodón de azúcar / Algodón de azúcar",414.17,0,0,0,0,414.17,-44.91
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Cereza / Musk blanco",414.17,0,0,0,0,414.17,0
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Algodón de azúcar,Musk Blanco,Cereza",412.96,0,0,0,0,412.96,0
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Algodón de azúcar,Algodón de azúcar,Cereza",404.99,0,0,0,0,404.99,0
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Algodón de azúcar,Cereza,Monoi",402.99,0,0,0,0,402.99,0
"2 musks comprados = 3 musks gratis","Musk blanco / Cereza / Monoï",379.24,0,0,0,0,379.24,0
"Pack rosado : 1 bruma pinky + 1 musk de cereza","Default Title",376.92,0,0,0,0,376.92,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Cereza / Algodón de azúcar / Algodón de azúcar",369.26,0,0,0,0,369.26,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Cereza / Algodón de azúcar / Vainilla caramelo",364.27,0,0,0,0,364.27,-44.91
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Algodón de azúcar,Musk Blanco,Monoi",347.13,0,0,0,0,347.13,0
"Bruma corporal de vainilla y caramelo","1 Bruma de caramelo de vainilla",339.37,0,0,0,0,339.37,0
"2 musks comprados = 3 musks gratis","Cereza / Musk blanco / Monoï",339.32,0,0,0,0,339.32,0
"2 musks comprados = 3 musks gratis","Musk blanco / Musk blanco / Cereza",336.83,0,0,0,0,336.83,-44.91
"Pack blackfriday : 2 musks + 2 desodorante + 2 brumas","Musk blanco / Musk blanco / Musk blanco",332.03,0,0,0,0,332.03,0
"2 musks comprados = 3 musks gratis","Musk blanco / Monoï / Musk blanco",329.34,0,0,0,0,329.34,0
"2 musks comprados = 3 musks gratis","Cereza / Cereza / Monoï",314.37,0,0,0,0,314.37,0
"Bruma corporal de musk blanco","Default Title",300.14,0,0,0,0,300.14,0
"MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Monoi",287.04,0,0,0,0,287.04,0
"2 musks comprados = 3 musks gratis","Musk blanco / Cereza / Musk blanco",284.44,0,0,0,0,284.44,0
"1 desodorante comprado = 1 musk gratis","Algodón de azúcar / Musk blanco",284.05,0,0,0,0,284.05,-29.9
"1 bruma comprada = 1 desodorante gratis","Musk blanco / Musk blanco",279.2,0,0,0,0,279.2,0
"Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Cereza / Vainilla caramelo / Musk blanco",275.31,0,0,0,0,275.31,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Algodón de azúcar / Algodón de azúcar",274.45,0,0,0,0,274.45,0
"Pack fragancia : 5 brumas + 2 musks + 2 desodorantes","Musk blanco / Musk blanco / Musk blanco",260.71,0,0,0,0,260.71,0
"Bruma corporal Pinky","1 Bruma Pinky",257.14,0,0,0,0,257.14,0
"Bruma de algodón de azúcar","Default Title",257.14,0,0,0,0,257.14,0
"2 musks comprados = 3 musks gratis","Algodón de azúcar / Cereza / Musk blanco",239.52,0,0,0,0,239.52,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Cereza / Vainilla caramelo",239.52,0,0,0,0,239.52,0
"2 musks comprados = 3 musks gratis","Cereza / Algodón de azúcar / Monoï",239.52,0,0,0,0,239.52,0
"MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Cereza,Cereza",239.2,0,0,0,0,239.2,0
"MUSK ÍNTIMO - MONOÏ","1 monoi musk comprado = el segundo al 50% de descuento",236.21,0,0,0,0,236.21,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Algodón de azúcar / Cereza / Algodón de azúcar",234.53,0,0,0,0,234.53,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Algodón de azúcar / Cereza / Vainilla caramelo",234.53,0,0,0,0,234.53,0
"2 musks comprados = 3 musks gratis","Musk blanco / Monoï / Algodón de azúcar",232.04,0,0,0,0,232.04,0
"2 musks comprados = 3 musks gratis","Musk blanco / Algodón de azúcar / Musk blanco",232.03,0,0,0,0,232.03,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Cereza / Algodón de azúcar / Coco rojo",229.54,0,0,0,0,229.54,0
"MUSK ÍNTIMO | MUSKAT©","1 Muskat Musk íntimo / Monoi",219.9,0,0,0,0,219.9,0
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Musk Blanco,Cereza,Monoi",195.51,0,0,0,0,195.51,0
"Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Algodón de azúcar / Vainilla caramelo / Musk blanco",195.51,0,0,0,0,195.51,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Cereza / Algodón de azúcar / Pinky",194.61,0,0,0,0,194.61,-44.91
"2 musks comprados = 3 musks gratis","Cereza / Algodón de azúcar / Musk blanco",192.11,0,0,0,0,192.11,0
"1 desodorante comprado = 1 musk gratis","Monoi / Musk blanco",191.36,0,0,0,0,191.36,0
"2 musks comprados = 3 musks gratis","Musk blanco / Musk blanco / Algodón de azúcar",189.62,0,0,0,0,189.62,0
"Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Musk blanco / Coco rojo / Musk blanco",187.53,0,0,0,0,187.53,0
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Algodón de azúcar,Algodón de azúcar,Monoi",187.53,0,0,0,0,187.53,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Cereza / Cereza / Pinky",184.63,0,0,0,0,184.63,0
"2 musks comprados = 3 musks gratis","Cereza / Musk blanco / Algodón de azúcar",174.65,0,0,0,0,174.65,0
"2 musks comprados = 3 musks gratis","Algodón de azúcar / Monoï / Cereza",172.16,0,0,0,0,172.16,0
"MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Cereza",170.43,0,0,0,0,170.43,0
"2 musks comprados = 3 musks gratis","Cereza / Cereza / Musk blanco",169.66,0,0,0,0,169.66,0
"MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Cereza,Monoi",165.95,0,0,0,0,165.95,0
"Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Cereza / Musk blanco / Musk blanco",159.6,0,0,0,0,159.6,0
"Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Monoi / Musk blanco / Musk blanco",159.6,0,0,0,0,159.6,0
"MUSK ÍNTIMO - MONOÏ","2 musk monoi comprados = 1 musk monoi gratis",155.61,0,0,0,0,155.61,0
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Cereza,Cereza,Cereza",151.62,0,0,0,0,151.62,0
"Pack de 6 meses de frescura : 5 musks + 5 desodorante + 5 brumas","Algodón de azúcar / Algodón de azúcar / Musk blanco",149.9,0,0,0,0,149.9,0
"2 musks comprados = 3 musks gratis","Cereza / Cereza / Algodón de azúcar",149.7,0,0,0,0,149.7,0
"Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Monoi / Vainilla caramelo / Musk blanco",147.63,0,0,0,0,147.63,0
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Musk Blanco,Musk Blanco,Monoi",145.63,0,0,0,0,145.63,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Algodón de azúcar / Coco rojo",144.71,0,0,0,0,144.71,0
"2 musks comprados = 3 musks gratis","Cereza / Monoï / Algodón de azúcar",144.71,0,0,0,0,144.71,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Algodón de azúcar / Algodón de azúcar / Vainilla caramelo",144.71,0,0,0,0,144.71,0
"Pack blackfriday : 2 musks + 2 desodorante + 2 brumas","Monoi / Coco rojo / Musk blanco",139.8,0,0,0,0,139.8,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Algodón de azúcar / Musk Blanco / Vainilla caramelo",139.72,0,0,0,0,139.72,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Monoi / Vainilla caramelo",139.72,0,0,0,0,139.72,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Algodón de azúcar / Algodón de azúcar / Musk blanco",139.72,0,0,0,0,139.72,0
"2 musks comprados = 3 musks gratis","Algodón de azúcar / Musk blanco / Cereza",139.72,0,0,0,0,139.72,0
"2 brumas compradas = 3 brumas gratis","Musk blanco / Coco rojo",139.6,0,0,0,0,139.6,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Cereza / Algodón de azúcar / Musk blanco",137.22,0,0,0,0,137.22,0
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Cereza / Algodón de azúcar",134.73,0,0,0,0,134.73,0
"2 musks comprados = 3 musks gratis","Monoï / Algodón de azúcar / Musk blanco",132.23,0,0,0,0,132.23,0
"2 musks comprados = 3 musks gratis","Algodón de azúcar / Cereza / Monoï",129.74,0,0,0,0,129.74,0
"2 brumas compradas = 3 brumas gratis","Coco rojo / Coco rojo",125.64,0,0,0,0,125.64,0
"1 desodorante comprado = 1 almizcle al 50% de descuento","2 desodorantes comprados = 2 musk gratis / Algodón de azúcar,Algodón de azúcar",119.8,0,0,0,0,119.8,0
"MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Cereza,Cereza,Monoi",119.7,0,0,0,0,119.7,0
"Bruma corporal Pinky","2 brumas Pinky comprados = el tercero gratis",119.6,0,0,0,0,119.6,0
"1 desodorante comprado = 1 almizcle al 50% de descuento","2 desodorantes comprados = 2 musk gratis / Algodón de azúcar,Monoi",113.81,0,0,0,0,113.81,0
